id,author.year,year,document.type,country,pretesting,bias.rating,behaviour.measure,outcome.category,outcome.category2,n.positive,n.total
77,Ahuja and Sicherer (2007),2007,journal,US,yes,high,self-reported,Knowledge,Removing an allergen from a prepared meal would not make the food safe to eat,75,100
79,Ajala et al. (2010),2010,journal,other,no,high,self-reported,Knowledge,Removing an allergen from a prepared meal would not make the food safe to eat,59,74
116,Bailey et al. (2011),2011,journal,other,yes,low/unclear,self-reported,Knowledge,Removing an allergen from a prepared meal would not make the food safe to eat,71,90
229,Common et al. (2013),2013,journal,other,no,low/unclear,self-reported,Knowledge,Removing an allergen from a prepared meal would not make the food safe to eat,35,40
291,Dupuis et al. (2016),2016,journal,US,no,low/unclear,self-reported,Knowledge,Removing an allergen from a prepared meal would not make the food safe to eat,158,177
595,Lee and Barker (2017),2017,journal,US,yes,high,self-reported,Knowledge,Removing an allergen from a prepared meal would not make the food safe to eat,64,75
596,Lee and Sozen (2016),2016,journal,US,yes,high,self-reported,Knowledge,Removing an allergen from a prepared meal would not make the food safe to eat,164,229
597,Lee and Xu (2015),2015,journal,US,yes,high,self-reported,Knowledge,Removing an allergen from a prepared meal would not make the food safe to eat,67,110
612,Lessa et al. (2016),2016,journal,other,no,high,self-reported,Knowledge,Removing an allergen from a prepared meal would not make the food safe to eat,60,80
832,Radke et al. (2016),2016,journal,US,no,high,self-reported,Knowledge,Removing an allergen from a prepared meal would not make the food safe to eat,595,644
951,Sogut et al. (2015),2015,journal,other,no,low/unclear,self-reported,Knowledge,Removing an allergen from a prepared meal would not make the food safe to eat,228,351
1080,Wen and Kwon (2017),2017,journal,US,yes,low/unclear,self-reported,Knowledge,Removing an allergen from a prepared meal would not make the food safe to eat,162,316
1086,Wham et al. (2014),2014,journal,other,yes,low/unclear,self-reported,Knowledge,Removing an allergen from a prepared meal would not make the food safe to eat,97,124
1149,Timmermans (2011),2011,other,other,no,high,self-reported,Knowledge,Removing an allergen from a prepared meal would not make the food safe to eat,91,115
77,Ahuja and Sicherer (2007),2007,journal,US,yes,high,self-reported,Training status/policies,Respondent has previously received food allergy training,42,100
116,Bailey et al. (2011),2011,journal,other,yes,low/unclear,self-reported,Training status/policies,Respondent has previously received food allergy training,30,90
213,Choi and Rajagopal (2013),2013,journal,US,yes,high,self-reported,Training status/policies,Respondent has previously received food allergy training,59,193
229,Common et al. (2013),2013,journal,other,no,low/unclear,self-reported,Training status/policies,Respondent has previously received food allergy training,6,40
595,Lee and Barker (2017),2017,journal,US,yes,high,self-reported,Training status/policies,Respondent has previously received food allergy training,37,75
595,Lee and Barker (2017),2017,journal,US,yes,high,self-reported,Training status/policies,Respondent has previously received food allergy training,87,110
596,Lee and Sozen (2016),2016,journal,US,yes,high,self-reported,Training status/policies,Respondent has previously received food allergy training,84,229
832,Radke et al. (2016),2016,journal,US,no,high,self-reported,Training status/policies,Respondent has previously received food allergy training,261,639
951,Sogut et al. (2015),2015,journal,other,no,low/unclear,self-reported,Training status/policies,Respondent has previously received food allergy training,60,351
1080,Wen and Kwon (2017),2017,journal,US,yes,low/unclear,self-reported,Training status/policies,Respondent has previously received food allergy training,144,316
1086,Wham et al. (2014),2014,journal,other,yes,low/unclear,self-reported,Training status/policies,Respondent has previously received food allergy training,31,124
1149,Timmermans (2011),2011,other,other,no,high,self-reported,Training status/policies,Respondent has previously received food allergy training,30,115
